IndLatency,DRB.AirIfDelayUl,DRB.PacketSuccessRateUlgNBUu,DRB.RlcDelayUl,DRB.RlcPacketDropRateDl,DRB.RlcSduDelayDl,DRB.RlcSduTransmittedVolumeDL,DRB.RlcSduTransmittedVolumeUL,DRB.UEThpDl,DRB.UEThpUl,RRU.PrbAvailDl,RRU.PrbAvailUl,RRU.PrbTotDl,RRU.PrbTotUl,RRU.PrbUsedDl,RRU.PrbUsedUl,label
1.464844,3.0,100,0.001,0,0.6,1451,9,1455.0,10.0,272,273,0,0,1,0,0
0.537842,3.0,100,1.081,0,0.3,2161,37,2167.0,38.0,273,273,0,0,0,0,0
0.452637,3.0,100,0.751,0,0.4,1895,18,1900.0,19.0,272,273,0,0,1,0,0
0.516846,3.0,100,0.824,0,0.6,1949,38,1954.0,39.0,272,273,0,0,1,0,0
3.428955,3.0,100,0.0,0,0.6,1529,9,1533.0,10.0,272,273,0,0,1,0,0
0.550781,3.0,100,0.72,0,0.5,2652,36,2659.0,37.0,272,273,0,0,1,0,0
0.453613,3.0,100,0.001,0,0.7,1313,9,1317.0,10.0,272,273,0,0,1,0,0
0.479736,3.0,100,0.674,0,0.5,2022,38,2028.0,39.0,272,273,0,0,1,0,0
0.467773,3.0,100,0.001,0,0.6,1629,9,1634.0,10.0,272,273,0,0,1,0,0
0.559814,3.0,100,1.039,0,0.4,2320,37,2326.0,39.0,273,273,0,0,0,0,0
0.496826,3.0,100,0.361,0,0.6,1462,20,1466.0,21.0,272,273,0,0,1,0,0
0.470703,3.0,100,1.025,0,0.5,2317,41,2324.0,42.0,272,273,0,0,1,0,0
0.509766,3.0,100,0.001,0,0.4,1583,9,1587.0,10.0,272,273,0,0,1,0,0
0.526855,3.0,100,1.248,0,0.6,2085,37,2091.0,38.0,273,273,0,0,0,0,0
0.523682,3.0,100,0.001,0,0.4,1640,9,1644.0,13.0,272,273,0,0,1,0,0
0.482666,3.0,100,1.124,0,0.5,2084,121,2090.0,119.0,273,272,0,0,0,1,0
0.496826,3.0,100,0.001,0,0.5,1639,8,1643.0,9.0,272,273,0,0,1,0,0
0.560791,3.0,100,0.883,0,0.6,2138,35,2144.0,36.0,272,273,0,0,1,0,0
0.516846,3.0,100,0.001,0,0.5,1641,8,1645.0,9.0,272,273,0,0,1,0,0
0.525635,3.0,100,0.882,0,0.5,2444,39,2450.0,41.0,272,273,0,0,1,0,0
0.514648,3.0,100,0.0,0,0.7,1350,7,1354.0,8.0,273,273,0,0,0,0,0
0.493652,3.0,100,0.964,0,0.4,2099,38,2105.0,39.0,273,273,0,0,0,0,0
0.516846,3.0,100,0.001,0,0.7,1500,10,1504.0,11.0,272,273,0,0,1,0,0
0.455811,3.0,100,0.937,0,0.6,2295,39,2302.0,41.0,272,273,0,0,1,0,0
0.487793,3.0,100,0.001,0,0.6,1747,11,1752.0,11.0,272,273,0,0,1,0,0
0.47168,3.0,100,0.568,0,0.8,2016,40,2021.0,41.0,272,273,0,0,1,0,0
0.503662,3.0,100,0.0,0,0.5,1933,11,1939.0,12.0,272,273,0,0,1,0,0
0.541504,3.0,100,1.098,0,0.4,1844,41,1849.0,43.0,272,273,0,0,1,0,0
0.522705,3.0,100,0.001,0,0.6,1716,10,1721.0,10.0,272,273,0,0,1,0,0
