Timestamp,IndLatency,UeID,IMSI,GranularityPeriod,DRB.AirIfDelayUl,DRB.PacketSuccessRateUlgNBUu,DRB.RlcDelayUl,DRB.RlcPacketDropRateDl,DRB.RlcSduDelayDl,DRB.RlcSduTransmittedVolumeDL,DRB.RlcSduTransmittedVolumeUL,DRB.UEThpDl,DRB.UEThpUl,RRU.PrbAvailDl,RRU.PrbAvailUl,RRU.PrbTotDl,RRU.PrbTotUl,RRU.PrbUsedDl,RRU.PrbUsedUl,label
1740602140554,0.524658,72,901700000041596,1000,3.1,100,6.069,0,0.0,0,492,0.0,494.0,273,271,0,0,0,2,1
1740602141553,-0.42627,72,901700000041596,1000,3.07971,100,2.982,0,0.0,0,923,0.0,931.0,273,266,0,2,0,7,1
1740602142554,0.549561,72,901700000041596,1000,3.084615,100,2.576,0,0.0,0,588,0.0,587.0,273,264,0,3,0,9,1
1740602143554,0.565674,72,901700000041596,1000,3.016667,100,3.174,0,0.0,0,666,0.0,669.0,273,271,0,0,0,2,1
1740602144554,0.544678,72,901700000041596,1000,3.111842,100,3.817,0,0.0,0,856,0.0,861.0,273,262,0,3,0,9,1
1740602145554,0.546875,72,901700000041596,1000,3.16,100,5.755,0,0.0,0,414,0.0,415.0,273,265,0,2,0,8,1
1740602146554,0.538574,72,901700000041596,1000,3.057143,100,2.148,0,0.0,0,465,0.0,471.0,273,271,0,0,0,2,1
1740602147554,0.553711,72,901700000041596,1000,3.046154,100,3.726,0,0.0,0,991,0.0,991.0,273,265,0,2,0,8,1
1740602148554,0.531738,72,901700000041596,1000,3.098485,100,2.397,0,0.0,0,599,0.0,606.0,273,263,0,3,0,10,1
1740602149553,-0.431152,72,901700000041596,1000,3.084746,100,3.154,0,0.0,0,1103,0.0,1103.0,273,265,0,2,0,8,1
1740602150553,-0.459473,72,901700000041596,1000,3.147059,100,9.561,0,0.0,0,123,0.0,123.0,273,264,0,3,0,9,1
1740602151554,0.55957,72,901700000041596,1000,3.083333,100,3.425,0,0.0,0,1013,0.0,1022.0,273,265,0,2,0,8,1
1740602152554,0.519531,72,901700000041596,1000,3.110169,100,2.426,0,0.0,0,487,0.0,485.0,273,264,0,3,0,9,1
1740602153553,-0.432129,72,901700000041596,1000,3.076923,100,3.544,0,0.0,0,1080,0.0,1085.0,273,268,0,1,0,5,1
1740602154554,0.564697,72,901700000041596,1000,3.140351,100,2.466,0,0.0,0,498,0.0,501.0,273,263,0,3,0,10,1
1740602155554,0.515869,72,901700000041596,1000,3.095891,100,3.305,0,0.0,0,1035,0.0,1040.0,273,263,0,3,0,10,1
1740602156554,0.547852,72,901700000041596,1000,3.128572,100,9.338,0,0.0,0,145,0.0,146.0,273,267,0,2,0,6,1
1740602157554,0.551514,72,901700000041596,1000,3.122951,100,3.505,0,0.0,0,1035,0.0,1044.0,273,263,0,3,0,9,1
1740602158554,0.522705,72,901700000041596,1000,3.147059,100,2.367,0,0.0,0,532,0.0,530.0,273,265,0,2,0,8,1
1740602159554,0.556641,72,901700000041596,1000,3.056338,100,3.248,0,0.0,0,1035,0.0,1040.0,273,265,0,2,0,8,1
1740602160554,0.550537,72,901700000041596,1000,3.108108,100,2.237,0,0.0,0,554,0.0,561.0,273,268,0,1,0,5,1
1740602161554,0.564697,72,901700000041596,1000,3.132353,100,3.349,0,0.0,0,957,0.0,961.0,273,262,0,4,0,11,1
1740602162554,0.537842,72,901700000041596,1000,3.136364,100,9.079,0,0.0,0,100,0.0,101.0,273,267,0,2,0,6,1
1740602163554,0.556641,72,901700000041596,1000,3.15,100,2.715,0,0.0,0,923,0.0,923.0,273,264,0,3,0,9,1
1740602164554,0.533691,72,901700000041596,1000,3.136364,100,2.248,0,0.0,0,532,0.0,534.0,273,269,0,1,0,4,1
1740602165554,0.543701,72,901700000041596,1000,3.107692,100,3.048,0,0.0,0,1047,0.0,1051.0,273,262,0,4,0,11,1
1740602166554,0.564697,72,901700000041596,1000,3.185714,100,8.27,0,0.0,0,212,0.0,213.0,273,266,0,2,0,7,1
1740602167554,0.517822,72,901700000041596,1000,3.097222,100,2.299,0,0.0,0,1333,0.0,1339.0,273,263,0,3,0,10,1
1740602168554,0.549561,72,901700000041596,1000,3.205882,100,8.489,0,0.0,0,100,0.0,105.0,273,267,0,2,0,6,1
1740602169554,0.536865,72,901700000041596,1000,3.065217,100,2.925,0,0.0,0,1125,0.0,1130.0,273,269,0,1,0,4,1
1740602170554,0.539551,72,901700000041596,1000,3.137255,100,2.464,0,0.0,0,476,0.0,478.0,273,264,0,3,0,9,1
1740602171554,0.570557,72,901700000041596,1000,3.084507,100,2.952,0,0.0,0,1058,0.0,1058.0,273,264,0,3,0,9,1
1740602172553,-0.432129,72,901700000041596,1000,3.152174,100,11.453,0,0.0,0,257,0.0,259.0,273,265,0,2,0,7,1
1740602173554,0.552734,72,901700000041596,1000,3.08,100,2.245,0,0.0,0,1232,0.0,1237.0,273,262,0,4,0,11,1
1740602174553,-0.458252,72,901700000041596,1000,3.1375,100,9.635,0,0.0,0,134,0.0,135.0,273,266,0,2,0,7,1
1740602175554,0.552734,72,901700000041596,1000,3.048387,100,4.04,0,0.0,0,1035,0.0,1041.0,273,267,0,2,0,6,1
1740602176554,0.562744,72,901700000041596,1000,3.098485,100,9.323,0,0.0,0,223,0.0,225.0,273,261,0,3,0,10,1
1740602177553,-0.435303,72,901700000041596,1000,3.1,100,2.417,0,0.0,0,1389,0.0,1399.0,273,264,0,3,0,9,1
1740602178554,0.547852,72,901700000041596,1000,3.138158,100,3.063,0,0.0,0,879,0.0,879.0,273,258,0,5,0,15,1
1740602179554,0.530518,72,901700000041596,1000,3.189655,100,7.244,0,0.0,0,179,0.0,179.0,273,266,0,2,0,7,1
1740602180554,0.557861,72,901700000041596,1000,3.101562,100,2.217,0,0.2,0,1355,0.0,1361.0,273,262,0,4,0,11,1
1740602181554,0.512695,72,901700000041596,1000,3.147059,100,7.877,0,0.0,0,257,0.0,262.0,273,263,0,3,0,10,1
1740602182554,0.548584,72,901700000041596,1000,3.161538,100,3.242,0,0.0,0,1024,0.0,1025.0,273,261,0,4,0,12,1
1740602183554,0.56665,72,901700000041596,1000,3.13,100,3.082,0,0.0,0,767,0.0,770.0,273,265,0,2,0,8,1
1740602184554,0.567871,72,901700000041596,1000,3.142857,100,2.251,0,0.0,0,700,0.0,707.0,273,261,0,4,0,12,1
1740602185554,0.523682,72,901700000041596,1000,3.094594,100,2.951,0,0.0,0,890,0.0,890.0,273,261,0,4,0,12,1
1740602186554,0.567871,72,901700000041596,1000,3.0,100,3.165,0,0.0,0,733,0.0,737.0,273,270,0,1,0,3,1
1740602187554,0.523682,72,901700000041596,1000,3.216216,100,2.406,0,0.0,0,756,0.0,759.0,273,256,0,6,0,17,1
1740602188554,0.506836,72,901700000041596,1000,3.027778,100,6.595,0,0.0,0,414,0.0,420.0,273,270,0,1,0,3,1
1740602189554,0.567871,72,901700000041596,1000,3.118421,100,3.078,0,0.0,0,800,0.0,804.0,273,260,0,4,0,13,1
1740602190554,0.545654,72,901700000041596,1000,3.080645,100,3.448,0,0.0,0,957,0.0,962.0,273,264,0,3,0,9,1
