Timestamp,IndLatency,UeID,IMSI,GranularityPeriod,DRB.AirIfDelayUl,DRB.PacketSuccessRateUlgNBUu,DRB.RlcDelayUl,DRB.RlcPacketDropRateDl,DRB.RlcSduDelayDl,DRB.RlcSduTransmittedVolumeDL,DRB.RlcSduTransmittedVolumeUL,DRB.UEThpDl,DRB.UEThpUl,RRU.PrbAvailDl,RRU.PrbAvailUl,RRU.PrbTotDl,RRU.PrbTotUl,RRU.PrbUsedDl,RRU.PrbUsedUl,label
1740607874866,0.60791,6584,901700000041596,1000,3.057692,100,5.254,0,0.0,0,123,0.0,123.0,273,270,0,1,0,3,1
1740607875866,0.641846,6584,901700000041596,1000,3.037037,100,4.974,0,0.0,0,201,0.0,202.0,273,270,0,0,0,2,1
1740607876866,0.604004,6584,901700000041596,1000,3.135417,100,5.265,0,1.4,0,235,0.0,237.0,273,266,0,2,0,7,1
1740607877866,0.638916,6584,901700000041596,1000,3.145161,100,1.53,0,0.0,0,543,0.0,545.0,273,268,0,1,0,5,1
1740607878866,0.628906,6584,901700000041596,1000,3.057143,100,4.331,0,0.2,0,246,0.0,247.0,273,269,0,1,0,4,1
1740607879866,0.604004,6584,901700000041596,1000,3.2,100,2.098,0,0.0,0,498,0.0,501.0,273,263,0,3,0,10,1
1740607880866,0.618164,6584,901700000041596,1000,3.083333,100,4.405,0,0.9,0,168,0.0,169.0,273,269,0,1,0,4,1
1740607881866,0.646973,6584,901700000041596,1000,3.15,100,5.843,0,0.0,0,100,0.0,101.0,273,268,0,1,0,5,1
1740607882866,0.59082,6584,901700000041596,1000,3.22,100,1.946,0,0.0,0,543,0.0,546.0,273,259,0,5,0,14,1
1740607883866,0.644043,6584,901700000041596,1000,3.186047,100,5.586,0,0.0,0,268,0.0,270.0,273,261,0,3,0,10,1
1740607884866,0.553955,6584,901700000041596,1000,3.132911,100,0.987,0,0.5,23953,303,24018.0,314.0,255,257,6,5,18,16,1
1740607885866,0.626953,6584,901700000041596,1000,3.184211,100,0.774,0,0.6,12112,551,12145.0,558.0,273,264,0,3,0,9,1
1740607886866,0.64502,6584,901700000041596,1000,3.205128,100,5.303,0,0.0,0,279,0.0,277.0,273,263,0,3,0,10,1
1740607887866,0.631836,6584,901700000041596,1000,3.261905,100,2.035,0,0.9,0,555,0.0,562.0,273,261,0,4,0,12,1
1740607888866,0.638916,6584,901700000041596,1000,3.15,100,5.22,0,0.0,0,33,0.0,29.0,273,271,0,0,0,2,1
1740607889866,0.640869,6584,901700000041596,1000,3.15625,100,6.135,0,0.0,0,156,0.0,157.0,273,266,0,2,0,7,1
1740607890866,0.62085,6584,901700000041596,1000,3.152778,100,6.46,0,0.0,0,167,0.0,168.0,273,263,0,3,0,10,1
1740607891866,0.616943,6584,901700000041596,1000,3.270833,100,2.312,0,0.2,0,576,0.0,580.0,273,260,0,4,0,13,1
