Timestamp,IndLatency,UeID,IMSI,GranularityPeriod,DRB.AirIfDelayUl,DRB.PacketSuccessRateUlgNBUu,DRB.RlcDelayUl,DRB.RlcPacketDropRateDl,DRB.RlcSduDelayDl,DRB.RlcSduTransmittedVolumeDL,DRB.RlcSduTransmittedVolumeUL,DRB.UEThpDl,DRB.UEThpUl,RRU.PrbAvailDl,RRU.PrbAvailUl,RRU.PrbTotDl,RRU.PrbTotUl,RRU.PrbUsedDl,RRU.PrbUsedUl,label
1740604522446,0.542236,6584,901700000041596,1000,3.045455,100,0.386,0,0.500000,2098,48,2104.0,50.0,272,273,0,0,0,0,1
1740604523446,0.527344,6584,901700000041596,1000,3.045455,100,0.296,0,0.700000,1187,26,1191.0,28.0,272,272,0,0,1,1,1
1740604524446,0.542236,6584,901700000041596,1000,3.0,100,0.519,0,0.400000,2197,58,2203.0,60.0,273,273,0,0,0,0,1
1740604525446,0.527344,6584,901700000041596,1000,3.0,100,0.0,0,0.700000,1238,17,1241.0,18.0,272,272,0,0,1,1,1
1740604526446,0.504395,6584,901700000041596,1000,3.0,100,0.504,0,0.600000,2195,64,2201.0,66.0,273,273,0,0,0,0,1
1740604527446,0.52832,6584,901700000041596,1000,3.022727,100,0.0,0,0.500000,1346,9,1350.0,10.0,272,272,0,0,1,1,1
1740604528446,0.458496,6584,901700000041596,1000,3.038461,100,0.717,0,0.400000,1839,46,1844.0,47.0,273,273,0,0,0,0,1
1740604529446,0.508545,6584,901700000041596,1000,3.045455,100,0.0,0,0.600000,1446,21,1449.0,22.0,272,272,0,0,1,1,1
1740604530446,0.544434,6584,901700000041596,1000,3.0,100,0.692,0,0.700000,1990,58,1995.0,60.0,273,273,0,0,0,0,1
1740604531446,0.496338,6584,901700000041596,1000,3.0,100,0.0,0,0.600000,1329,10,1332.0,11.0,272,272,0,0,1,1,1
1740604532446,0.504395,6584,901700000041596,1000,3.038461,100,0.691,0,0.500000,1918,57,1923.0,59.0,272,273,0,0,1,0,1
1740604533446,0.519531,6584,901700000041596,1000,3.0,100,0.0,0,0.500000,1423,14,1427.0,15.0,272,272,0,0,1,1,1
1740604534446,0.501221,6584,901700000041596,1000,3.0,100,0.635,0,0.400000,1931,43,1936.0,44.0,273,273,0,0,0,0,1
1740604535446,0.53833,6584,901700000041596,1000,3.026316,100,0.314,0,0.500000,1288,14,1291.0,15.0,272,272,0,0,1,1,1
1740604536446,0.524414,6584,901700000041596,1000,3.033333,100,0.356,0,0.400000,2057,65,2062.0,67.0,273,273,0,0,0,0,1
1740604537446,0.505371,6584,901700000041596,1000,3.020833,100,0.25,0,0.500000,1439,18,1442.0,19.0,273,272,0,0,0,1,1
1740604538446,0.494385,6584,901700000041596,1000,3.033333,100,0.574,0,0.500000,1887,50,1893.0,51.0,273,273,0,0,0,0,1
1740604539446,0.504395,6584,901700000041596,1000,3.0,100,0.192,0,0.500000,1266,13,1270.0,14.0,272,272,0,0,1,1,1
1740604540446,0.530273,6584,901700000041596,1000,3.029412,100,1.6,0,0.700000,2031,219,2037.0,221.0,273,273,0,0,0,0,1
1740604541446,0.52832,6584,901700000041596,1000,3.05102,100,3.234,0,0.500000,1338,340,1341.0,342.0,272,268,0,1,1,5,1
1740604542446,0.532227,6584,901700000041596,1000,3.15,100,1.385,0,0.600000,2031,673,2037.0,677.0,272,263,0,3,1,10,1
