Timestamp,IndLatency,UeID,IMSI,GranularityPeriod,DRB.AirIfDelayUl,DRB.PacketSuccessRateUlgNBUu,DRB.RlcDelayUl,DRB.RlcPacketDropRateDl,DRB.RlcSduDelayDl,DRB.RlcSduTransmittedVolumeDL,DRB.RlcSduTransmittedVolumeUL,DRB.UEThpDl,DRB.UEThpUl,RRU.PrbAvailDl,RRU.PrbAvailUl,RRU.PrbTotDl,RRU.PrbTotUl,RRU.PrbUsedDl,RRU.PrbUsedUl
1740602140554,0.524658,72,901700000041596,1000,3.100000,100,6.069000,0,NoValue,0,492,0.000000,494.000000,273,271,0,0,0,2
1740602141553,-0.426270,72,901700000041596,1000,3.079710,100,2.982000,0,NoValue,0,923,0.000000,931.000000,273,266,0,2,0,7
1740602142554,0.549561,72,901700000041596,1000,3.084615,100,2.576000,0,NoValue,0,588,0.000000,587.000000,273,264,0,3,0,9
1740602143554,0.565674,72,901700000041596,1000,3.016667,100,3.174000,0,NoValue,0,666,0.000000,669.000000,273,271,0,0,0,2
1740602144554,0.544678,72,901700000041596,1000,3.111842,100,3.817000,0,NoValue,0,856,0.000000,861.000000,273,262,0,3,0,9
1740602145554,0.546875,72,901700000041596,1000,3.160000,100,5.755000,0,NoValue,0,414,0.000000,415.000000,273,265,0,2,0,8
1740602146554,0.538574,72,901700000041596,1000,3.057143,100,2.148000,0,NoValue,0,465,0.000000,471.000000,273,271,0,0,0,2
1740602147554,0.553711,72,901700000041596,1000,3.046154,100,3.726000,0,NoValue,0,991,0.000000,991.000000,273,265,0,2,0,8
1740602148554,0.531738,72,901700000041596,1000,3.098485,100,2.397000,0,NoValue,0,599,0.000000,606.000000,273,263,0,3,0,10
1740602149553,-0.431152,72,901700000041596,1000,3.084746,100,3.154000,0,NoValue,0,1103,0.000000,1103.000000,273,265,0,2,0,8
1740602150553,-0.459473,72,901700000041596,1000,3.147059,100,9.561000,0,NoValue,0,123,0.000000,123.000000,273,264,0,3,0,9
1740602151554,0.559570,72,901700000041596,1000,3.083333,100,3.425000,0,NoValue,0,1013,0.000000,1022.000000,273,265,0,2,0,8
1740602152554,0.519531,72,901700000041596,1000,3.110169,100,2.426000,0,NoValue,0,487,0.000000,485.000000,273,264,0,3,0,9
1740602153553,-0.432129,72,901700000041596,1000,3.076923,100,3.544000,0,NoValue,0,1080,0.000000,1085.000000,273,268,0,1,0,5
1740602154554,0.564697,72,901700000041596,1000,3.140351,100,2.466000,0,NoValue,0,498,0.000000,501.000000,273,263,0,3,0,10
1740602155554,0.515869,72,901700000041596,1000,3.095891,100,3.305000,0,NoValue,0,1035,0.000000,1040.000000,273,263,0,3,0,10
1740602156554,0.547852,72,901700000041596,1000,3.128572,100,9.338000,0,NoValue,0,145,0.000000,146.000000,273,267,0,2,0,6
1740602157554,0.551514,72,901700000041596,1000,3.122951,100,3.505000,0,NoValue,0,1035,0.000000,1044.000000,273,263,0,3,0,9
1740602158554,0.522705,72,901700000041596,1000,3.147059,100,2.367000,0,NoValue,0,532,0.000000,530.000000,273,265,0,2,0,8
1740602159554,0.556641,72,901700000041596,1000,3.056338,100,3.248000,0,NoValue,0,1035,0.000000,1040.000000,273,265,0,2,0,8
1740602160554,0.550537,72,901700000041596,1000,3.108108,100,2.237000,0,NoValue,0,554,0.000000,561.000000,273,268,0,1,0,5
1740602161554,0.564697,72,901700000041596,1000,3.132353,100,3.349000,0,NoValue,0,957,0.000000,961.000000,273,262,0,4,0,11
