Timestamp,IndLatency,UeID,IMSI,GranularityPeriod,DRB.AirIfDelayUl,DRB.PacketSuccessRateUlgNBUu,DRB.RlcDelayUl,DRB.RlcPacketDropRateDl,DRB.RlcSduDelayDl,DRB.RlcSduTransmittedVolumeDL,DRB.RlcSduTransmittedVolumeUL,DRB.UEThpDl,DRB.UEThpUl,RRU.PrbAvailDl,RRU.PrbAvailUl,RRU.PrbTotDl,RRU.PrbTotUl,RRU.PrbUsedDl,RRU.PrbUsedUl
1740607854896,30.604004,6584,901700000041596,1000,3.000000,0,NoValue,0,NoValue,0,0,0.000000,0.000000,273,273,0,0,0,0
1740607855866,0.582031,6584,901700000041596,1000,3.000000,0,NoValue,0,NoValue,0,0,0.000000,0.000000,273,273,0,0,0,0
1740607856866,0.623047,6584,901700000041596,1000,3.000000,0,NoValue,0,NoValue,0,0,0.000000,0.000000,273,273,0,0,0,0
1740607857866,0.608887,6584,901700000041596,1000,3.000000,0,NoValue,0,NoValue,0,0,0.000000,0.000000,273,273,0,0,0,0
1740607858866,0.624023,6584,901700000041596,1000,3.000000,0,NoValue,0,NoValue,0,0,0.000000,0.000000,273,273,0,0,0,0
1740607859866,0.619873,6584,901700000041596,1000,NoValue,0,NoValue,0,NoValue,0,0,0.000000,0.000000,273,273,0,0,0,0
1740607860866,0.620850,6584,901700000041596,1000,3.076923,100,0.001000,0,1.200000,0,0,0.000000,0.000000,273,272,0,0,0,1
1740607861866,0.577148,6584,901700000041596,1000,3.000000,100,1.148000,0,0.400000,46,51,46.000000,51.000000,273,273,0,0,0,0
1740607862866,0.613037,6584,901700000041596,1000,3.000000,0,NoValue,0,NoValue,0,0,0.000000,0.000000,273,273,0,0,0,0
1740607863866,0.563965,6584,901700000041596,1000,3.000000,0,NoValue,0,NoValue,0,0,0.000000,0.000000,273,273,0,0,0,0
1740607864866,0.631836,6584,901700000041596,1000,3.024194,100,1.142000,0,0.500000,15977,97,16022.000000,101.000000,255,270,6,1,18,3
1740607865866,0.628174,6584,901700000041596,1000,3.000000,100,0.798000,0,0.500000,35620,210,35717.000000,222.000000,262,271,4,0,11,2
1740607866866,0.635010,6584,901700000041596,1000,3.000000,100,1.106000,0,0.600000,4,12,4.000000,12.000000,273,273,0,0,0,0
1740607867866,0.613037,6584,901700000041596,1000,3.000000,0,NoValue,0,NoValue,0,0,0.000000,0.000000,273,273,0,0,0,0
1740607868866,0.588867,6584,901700000041596,1000,NoValue,0,NoValue,0,NoValue,0,0,0.000000,0.000000,273,273,0,0,0,0
1740607869866,0.639893,6584,901700000041596,1000,3.000000,0,NoValue,0,NoValue,0,0,0.000000,0.000000,273,273,0,0,0,0
1740607870866,0.629883,6584,901700000041596,1000,3.000000,0,NoValue,0,NoValue,0,0,0.000000,0.000000,273,273,0,0,0,0
1740607871866,0.625000,6584,901700000041596,1000,3.000000,0,NoValue,0,NoValue,0,0,0.000000,0.000000,273,273,0,0,0,0
1740607872866,0.603027,6584,901700000041596,1000,3.000000,0,NoValue,0,NoValue,0,0,0.000000,0.000000,273,273,0,0,0,0
1740607873866,0.584961,6584,901700000041596,1000,3.000000,0,NoValue,0,NoValue,0,0,0.000000,0.000000,273,273,0,0,0,0
1740607874866,0.607910,6584,901700000041596,1000,3.057692,100,5.254000,0,NoValue,0,123,0.000000,123.000000,273,270,0,1,0,3
1740607875866,0.641846,6584,901700000041596,1000,3.037037,100,4.974000,0,NoValue,0,201,0.000000,202.000000,273,270,0,0,0,2
1740607876866,0.604004,6584,901700000041596,1000,3.135417,100,5.265000,0,1.400000,0,235,0.000000,237.000000,273,266,0,2,0,7
1740607877866,0.638916,6584,901700000041596,1000,3.145161,100,1.530000,0,NoValue,0,543,0.000000,545.000000,273,268,0,1,0,5
1740607878866,0.628906,6584,901700000041596,1000,3.057143,100,4.331000,0,0.200000,0,246,0.000000,247.000000,273,269,0,1,0,4
1740607879866,0.604004,6584,901700000041596,1000,3.200000,100,2.098000,0,NoValue,0,498,0.000000,501.000000,273,263,0,3,0,10
1740607880866,0.618164,6584,901700000041596,1000,3.083333,100,4.405000,0,0.900000,0,168,0.000000,169.000000,273,269,0,1,0,4
1740607881866,0.646973,6584,901700000041596,1000,3.150000,100,5.843000,0,NoValue,0,100,0.000000,101.000000,273,268,0,1,0,5
1740607882866,0.590820,6584,901700000041596,1000,3.220000,100,1.946000,0,NoValue,0,543,0.000000,546.000000,273,259,0,5,0,14
1740607883866,0.644043,6584,901700000041596,1000,3.186047,100,5.586000,0,NoValue,0,268,0.000000,270.000000,273,261,0,3,0,10
1740607884866,0.553955,6584,901700000041596,1000,3.132911,100,0.987000,0,0.500000,23953,303,24018.000000,314.000000,255,257,6,5,18,16
1740607885866,0.626953,6584,901700000041596,1000,3.184211,100,0.774000,0,0.600000,12112,551,12145.000000,558.000000,273,264,0,3,0,9
1740607886866,0.645020,6584,901700000041596,1000,3.205128,100,5.303000,0,NoValue,0,279,0.000000,277.000000,273,263,0,3,0,10
1740607887866,0.631836,6584,901700000041596,1000,3.261905,100,2.035000,0,0.900000,0,555,0.000000,562.000000,273,261,0,4,0,12
1740607888866,0.638916,6584,901700000041596,1000,3.150000,100,5.220000,0,NoValue,0,33,0.000000,29.000000,273,271,0,0,0,2
1740607889866,0.640869,6584,901700000041596,1000,3.156250,100,6.135000,0,NoValue,0,156,0.000000,157.000000,273,266,0,2,0,7
1740607890866,0.620850,6584,901700000041596,1000,3.152778,100,6.460000,0,NoValue,0,167,0.000000,168.000000,273,263,0,3,0,10
1740607891866,0.616943,6584,901700000041596,1000,3.270833,100,2.312000,0,0.200000,0,576,0.000000,580.000000,273,260,0,4,0,13
1740607892866,0.630859,6584,901700000041596,1000,3.166667,100,5.401000,0,NoValue,0,123,0.000000,123.000000,273,271,0,0,0,1
1740607893866,0.631836,6584,901700000041596,1000,3.166667,100,6.375000,0,NoValue,0,111,0.000000,112.000000,273,267,0,2,0,6
1740607894866,0.640869,6584,901700000041596,1000,3.230769,100,2.188000,0,NoValue,0,565,0.000000,568.000000,273,257,0,5,0,16
1740607895866,0.523926,6584,901700000041596,1000,3.176471,100,5.335000,0,1.400000,0,257,0.000000,259.000000,273,266,0,2,0,7
1740607896865,-0.381104,6584,901700000041596,1000,3.100000,100,5.603000,0,NoValue,0,22,0.000000,22.000000,273,271,0,0,0,2
1740607897866,0.635010,6584,901700000041596,1000,3.100000,100,6.001000,0,NoValue,0,78,0.000000,78.000000,273,270,0,1,0,3
1740607898866,0.630859,6584,901700000041596,1000,3.233333,100,1.897000,0,NoValue,0,487,0.000000,489.000000,273,258,0,4,0,13
1740607899866,0.641846,6584,901700000041596,1000,3.181818,100,6.261000,0,NoValue,0,235,0.000000,236.000000,273,263,0,3,0,10
1740607900866,0.625977,6584,901700000041596,1000,3.220930,100,1.698000,0,NoValue,0,532,0.000000,534.000000,273,260,0,4,0,13
