Timestamp,IndLatency,UeID,IMSI,GranularityPeriod,DRB.AirIfDelayUl,DRB.PacketSuccessRateUlgNBUu,DRB.RlcDelayUl,DRB.RlcPacketDropRateDl,DRB.RlcSduDelayDl,DRB.RlcSduTransmittedVolumeDL,DRB.RlcSduTransmittedVolumeUL,DRB.UEThpDl,DRB.UEThpUl,RRU.PrbAvailDl,RRU.PrbAvailUl,RRU.PrbTotDl,RRU.PrbTotUl,RRU.PrbUsedDl,RRU.PrbUsedUl
1740604522446,0.542236,6584,901700000041596,1000,3.045455,100,0.386000,0,0.500000,2098,48,2104.000000,50.000000,272,273,0,0,0,0
1740604523446,0.527344,6584,901700000041596,1000,3.045455,100,0.296000,0,0.700000,1187,26,1191.000000,28.000000,272,272,0,0,1,1
1740604524446,0.542236,6584,901700000041596,1000,3.000000,100,0.519000,0,0.400000,2197,58,2203.000000,60.000000,273,273,0,0,0,0
1740604525446,0.527344,6584,901700000041596,1000,3.000000,100,0.000000,0,0.700000,1238,17,1241.000000,18.000000,272,272,0,0,1,1
1740604526446,0.504395,6584,901700000041596,1000,3.000000,100,0.504000,0,0.600000,2195,64,2201.000000,66.000000,273,273,0,0,0,0
1740604527446,0.528320,6584,901700000041596,1000,3.022727,100,0.000000,0,0.500000,1346,9,1350.000000,10.000000,272,272,0,0,1,1
1740604528446,0.458496,6584,901700000041596,1000,3.038461,100,0.717000,0,0.400000,1839,46,1844.000000,47.000000,273,273,0,0,0,0
1740604529446,0.508545,6584,901700000041596,1000,3.045455,100,0.000000,0,0.600000,1446,21,1449.000000,22.000000,272,272,0,0,1,1
1740604530446,0.544434,6584,901700000041596,1000,3.000000,100,0.692000,0,0.700000,1990,58,1995.000000,60.000000,273,273,0,0,0,0
1740604531446,0.496338,6584,901700000041596,1000,3.000000,100,0.000000,0,0.600000,1329,10,1332.000000,11.000000,272,272,0,0,1,1
1740604532446,0.504395,6584,901700000041596,1000,3.038461,100,0.691000,0,0.500000,1918,57,1923.000000,59.000000,272,273,0,0,1,0
1740604533446,0.519531,6584,901700000041596,1000,3.000000,100,0.000000,0,0.500000,1423,14,1427.000000,15.000000,272,272,0,0,1,1
1740604534446,0.501221,6584,901700000041596,1000,3.000000,100,0.635000,0,0.400000,1931,43,1936.000000,44.000000,273,273,0,0,0,0
1740604535446,0.538330,6584,901700000041596,1000,3.026316,100,0.314000,0,0.500000,1288,14,1291.000000,15.000000,272,272,0,0,1,1
1740604536446,0.524414,6584,901700000041596,1000,3.033333,100,0.356000,0,0.400000,2057,65,2062.000000,67.000000,273,273,0,0,0,0
1740604537446,0.505371,6584,901700000041596,1000,3.020833,100,0.250000,0,0.500000,1439,18,1442.000000,19.000000,273,272,0,0,0,1
1740604538446,0.494385,6584,901700000041596,1000,3.033333,100,0.574000,0,0.500000,1887,50,1893.000000,51.000000,273,273,0,0,0,0
1740604539446,0.504395,6584,901700000041596,1000,3.000000,100,0.192000,0,0.500000,1266,13,1270.000000,14.000000,272,272,0,0,1,1
1740604540446,0.530273,6584,901700000041596,1000,3.029412,100,1.600000,0,0.700000,2031,219,2037.000000,221.000000,273,273,0,0,0,0
