IndLatency,DRB.UEThpDl,DRB.UEThpUl
1.0,-0.5616598,-0.78724694
-0.37201443,-0.4538067,-0.62193674
-0.5258267,-0.48607174,-0.61603284
1.0,-0.5498445,-0.78724694
-0.27722606,-0.37927893,-0.6278407
-0.98905826,-0.582564,-0.78724694
-0.79768664,-0.47486228,-0.61603284
-0.8853251,-0.53454506,-0.78724694
-0.21105221,-0.4297215,-0.61603284
-0.45250285,-0.4653191,-0.62193674
-0.4757476,-0.5330303,-0.7695351
-0.7762221,-0.46547058,-0.14371803
-0.20389491,-0.4572907,-0.6337446
-0.5258267,-0.5328788,-0.7931509
-0.46144032,-0.41093808,-0.6042249
-0.54192877,-0.57695925,-0.7990548
-0.69574094,-0.4631984,-0.61603284
-0.5258267,-0.55423737,-0.781343
-0.7386628,-0.5166705,-0.781343
-0.85670316,-0.47592264,-0.6042249
-0.6224098,-0.48834392,-0.775439
-0.3451874,-0.5019771,-0.59241706
-0.48290485,-0.5213664,-0.78724694
-0.71004826,-0.43532622,-0.598321
-0.14487106,-0.55575216,-0.78724694
-0.32909262,-0.4647132,-0.5628974
-0.65818167,-0.53772616,-0.781343
-0.95149887,-0.44789898,-0.6101289
-0.79768664,-0.5486326,-0.781343
-1.0,-0.47516525,-0.598321
-0.38810918,-0.5560551,-0.7931509
-1.0,-0.5384835,-0.78724694
-0.7762221,-0.4647132,-0.59241706
-1.0,-0.57226336,-0.78724694
-0.27006876,-0.5334847,-0.78724694
-0.423881,-0.4412339,-0.61603284
-0.6224098,-0.55953914,-0.78724694
-0.21105221,-0.54575455,-0.775439
-0.33624262,-0.45138302,-0.62193674
-0.95149887,-0.43593213,-0.598321
-1.0,-0.5690823,-0.7931509
-0.23429693,-0.42699486,-0.61603284
-0.35770714,-0.42275345,-0.62193674
-0.8710104,-0.520609,-0.78724694
-0.85670316,-0.4922824,-0.61603284
-0.56338596,-0.57029414,-0.781343
-0.80483663,-0.46486467,-0.6101289
-1.0,-0.51954865,-0.74001545
-0.44534555,-0.4291156,-0.037447214
-0.9300343,-0.5605995,-0.6632643
-1.0,-0.4560789,-0.62193674
-0.18243036,-0.54923856,-0.78724694
-1.0,-0.46198657,-0.7931509
-0.8423959,-0.48440546,-0.6101289
-0.32909262,-0.58044326,-0.7931509
-0.8853251,-0.4289641,-0.6042249
-0.33624262,-0.4427487,-0.6042249
-0.423881,-0.44850492,-0.53337777
-0.32909262,-0.4360836,-0.61603284
-0.37201443,-0.5307581,-0.19094951
-0.2986833,-0.48804098,-0.57470524
-0.4310383,-0.52030605,-0.775439
-0.44534555,-0.40821147,-0.6042249
-0.5991578,-0.528183,-0.78724694
-0.7315055,-0.46577352,-0.61603284
-0.2486042,-0.59150124,-0.78724694
-0.24145423,-0.46850017,-0.6101289
-0.32909262,-0.5486326,-0.781343
-0.49005485,-0.4363866,-0.61603284
-0.27006876,-0.53681725,-0.78724694
-0.4310383,-0.43290257,-0.61603284
-0.4185185,-0.44168836,-0.6101289
-0.4310383,-0.5419676,-0.78724694
-1.0,-0.4291156,-0.6101289
-0.27006876,-0.56953675,-0.78724694
-0.90678227,-0.436841,-0.62193674
-0.9586488,-0.5540859,-0.78724694
-0.29153332,-0.4515345,-0.59241706
-0.36486444,-0.54848117,-0.7931509
-0.90678227,-0.54560304,-0.78724694
-0.31478536,-0.4327511,-0.6101289
-0.17528039,-0.52106345,-0.78724694
-0.40242377,-0.48440546,-0.62193674
-0.4757476,-0.5301522,-0.78724694
-0.40957373,-0.5286374,-0.78724694
-0.17528039,-0.44502088,-0.62193674
-0.29153332,-0.5596906,-0.78724694
-0.7762221,-0.46501613,-0.61603284
-0.85670316,-0.49243388,-0.7695351
-0.49005485,-0.47395343,-0.6042249
-0.7833794,-0.5509048,-0.7931509
-0.50436944,-0.45108005,-0.6278407
-0.74582005,-0.44835344,-0.61603284
-0.98905826,-0.5605995,-0.78724694
-0.702891,-0.4425972,-0.6101289
-0.7690648,-0.57998884,-0.781343
-0.7690648,-0.39518425,-0.61603284
-1.0,-0.50334036,-0.61603284
-1.0,-0.43941617,-0.61603284
-0.7905294,-0.589532,-0.781343
-0.67963886,-0.44895935,-0.598321
-0.69574094,-0.5636291,-0.73411155
-0.69574094,-0.4325996,-0.62193674
-0.80483663,-0.5498445,-0.78724694
-0.44534555,-0.4834966,-0.23227705
-0.89963233,-0.53454506,-0.2913164
-0.7243555,-0.50334036,-0.73411155
-0.65818167,-0.4674398,-0.61603284
-0.74582005,-0.542422,-0.7931509
-0.7762221,-0.53409064,-0.73411155
-0.8495532,-0.45183745,-0.62193674
-0.7905294,-0.52439594,-0.7931509
-0.56338596,-0.47228715,-0.6042249
-0.2986833,-0.465925,-0.61603284
-0.892475,-0.53772616,-0.7931509
-0.556236,-0.47713447,-0.6278407
-0.35770714,-0.52303267,-0.7931509
-0.7833794,-0.47819483,-0.6042249
-0.26291877,-0.5330303,-0.78724694
-0.8423959,-0.39003396,-0.6101289
-0.2486042,-0.54726934,-0.78724694
-0.20389491,-0.4980386,-0.62193674
-0.423881,-0.54726934,-0.7931509
-1.0,-0.5393924,-0.78724694
-0.44534555,-0.44865638,-0.6278407
-1.0,-0.46501613,-0.61603284
-0.32193533,-0.5292433,-0.78724694
-0.27006876,-0.5533285,-0.7931509
-0.56338596,-0.4595629,-0.6101289
-0.1681231,-0.52015454,-0.7931509
-1.0,-0.4704694,-0.61603284
-0.6438744,-0.52257824,-0.7931509
-0.36486444,-0.45001972,-0.61603284
-0.6438744,-0.5548433,-0.78724694
-0.9586488,-0.46622798,-0.62193674
-0.35055718,-0.53560543,-0.78724694
-0.7762221,-0.44865638,-0.62193674
-0.75297004,-0.52803147,-0.7931509
-0.53477144,-0.42396528,-0.6101289
-0.89963233,-0.5758989,-0.7931509
-0.7315055,-0.46925756,-0.61603284
-0.8495532,-0.5219723,-0.78724694
-0.9658061,-0.40684813,-0.6101289
-0.7386628,-0.5109143,-0.6101289
-0.76191485,-0.5254563,-0.78724694
-1.0,-0.4848599,-0.6042249
-0.7762221,-0.5286374,-0.7931509
-0.7762221,-0.44956526,-0.61603284
-0.26291877,-0.5371202,-0.781343
-0.45250285,-0.48213327,-0.61603284
-0.28437603,-0.5154587,-0.78724694
-0.15381584,-0.49455458,-0.62193674
-0.69574094,-0.5431794,-0.781343
-0.83524597,-0.45850253,-0.61603284
-0.6724889,-0.44244576,-0.62193674
-0.32193533,-0.5513593,-0.78724694
-0.9586488,-0.4631984,-0.6278407
-1.0,-0.53696877,-0.78724694
-0.74582005,-0.4135132,0.24594167
-0.27722606,-0.56150836,-0.14962196
-0.58485055,-0.45638183,-0.6101289
-0.6438744,-0.542119,-0.7931509
-0.8638605,-0.43153924,-0.62193674
-0.80483663,-0.4610777,-0.61603284
-0.27006876,-0.5404528,-0.78724694
-0.35770714,-0.45623034,-0.62193674
-0.45250285,-0.5743841,-0.78724694
-0.7690648,-0.4044245,-0.6101289
-1.0,-0.5786255,-0.7931509
