msg_counter,latency_ms
0,0
1,19.5
2,18.179
3,19.451
4,20.31
5,25.173
6,20.163
7,18.934
8,21.509
9,40.614
10,33.411
11,18.37
12,18.337
13,41.672
14,17.917
15,20.965
16,21.596
17,27.34
18,38.455
19,33.539
20,18.324
21,24.955
22,20.06
23,16.758
24,17.768
25,35.358
26,20.882
27,39.126
28,43.331
29,38.092
30,22.954
31,31.822
32,28.15
33,20.779
34,23.936
35,20.985
36,17.871
37,21.236
38,34.945
39,19.434
40,19.349
41,19.723
42,19.123
43,24.737
44,20.747
45,24.632
46,31.675
47,23.646
48,19.683
49,45.618
50,23.918
51,19.517
52,20.993
53,21.027
54,20.082
55,20.79
56,39.73
57,31.928
58,43.476
59,19.019
60,37.098
61,31.769
62,18.131
63,20.63
64,40.114
65,20.243
66,19.23
67,29.774
68,19.231
69,28.624
70,25.468
71,18.492
72,21.946
73,42.674
74,19.657
75,29.178
76,43.209
77,34.237
78,18.538
79,20.636
80,18.982
81,23.459
82,42.517
83,29.237
84,21.862
85,20.335
86,29.167
87,39.136
88,30.24
89,20.043
90,19.045
91,41.299
92,25.027
93,19.484
94,22.529
95,17.888
96,31.794
97,20.956
98,18.604
99,22.808
100,23.594
