tx_brate downlink (kbps),tx_pkts downlink,rx_brate uplink (kbps),rx_pkts uplink,slice_target
9.92771,4.0,100.0,6.0,3
16.8996,11.0,0.0,0.0,3
12.658600000000002,10.0,0.0,0.0,3
49.2851,30.0,0.0,0.0,3
27.8876,18.0,0.0,0.0,3
21.751,9.0,0.0,0.0,3
49.124500000000005,22.0,0.0,0.0,3
39.6787,26.0,0.0,0.0,3
34.6667,25.0,0.0,0.0,3
53.654599999999995,32.0,0.0,0.0,3
34.4096,27.0,0.0,0.0,3
44.498000000000005,31.0,0.0,0.0,3
44.9157,35.0,0.0,0.0,3
22.6506,17.0,0.0,0.0,3
33.4137,24.0,0.0,0.0,3
27.1486,21.0,0.0,0.0,3
43.9839,22.0,0.0,0.0,3
57.5743,43.0,0.0,0.0,3
43.3414,20.0,0.0,0.0,3
44.9478,31.0,0.0,0.0,3
64.1606,26.0,0.0,0.0,3
32.4498,16.0,0.0,0.0,3
38.2329,22.0,0.0,0.0,3
38.7149,25.0,0.0,0.0,3
41.44,26.0,0.0,0.0,3
56.096,40.0,0.0,0.0,3
28.1446,22.0,0.0,0.0,3
47.6787,34.0,0.0,0.0,3
52.6908,49.0,0.0,0.0,3
31.839399999999998,26.0,0.0,0.0,3
22.4578,17.0,0.0,0.0,3
35.2771,37.0,0.0,0.0,3
41.0924,43.0,0.0,0.0,3
22.8112,20.0,0.0,0.0,3
55.8072,56.0,0.0,0.0,3
56.64,50.0,0.0,0.0,3
42.4739,54.0,0.0,0.0,3
60.1767,67.0,0.0,0.0,3
42.72,58.0,0.0,0.0,3
40.480000000000004,40.0,0.0,0.0,3
39.8394,29.0,0.0,0.0,3
23.357400000000002,22.0,0.0,0.0,3
28.497999999999998,24.0,0.0,0.0,3
39.296,31.0,0.0,0.0,3
27.180699999999998,12.0,0.0,0.0,3
44.8835,32.0,0.0,0.0,3
21.7831,10.0,0.0,0.0,3
40.928,39.0,0.0,0.0,3
38.8434,22.0,0.0,0.0,3
48.739,24.0,0.0,0.0,3
51.469899999999996,30.0,0.0,0.0,3
27.0201,13.0,0.0,0.0,3
43.5341,22.0,0.0,0.0,3
21.184,6.0,0.0,0.0,3
48.8996,24.0,0.0,0.0,3
56.192,40.0,0.0,0.0,3
22.6185,21.0,0.0,0.0,3
74.6667,29.0,0.0,0.0,3
75.759,60.0,0.0,0.0,3
32.736000000000004,16.0,0.0,0.0,3
21.6,9.0,0.0,0.0,3
32.8353,18.0,0.0,0.0,3
16.2249,7.0,0.0,0.0,3
48.2249,21.0,0.0,0.0,3
24.8675,12.0,0.0,0.0,3
21.4297,9.0,0.0,0.0,3
71.1647,40.0,0.0,0.0,3
21.5261,10.0,0.0,0.0,3
43.3092,21.0,0.0,0.0,3
37.9759,20.0,0.0,0.0,3
44.4337,29.0,0.0,0.0,3
38.7791,22.0,0.0,0.0,3
33.028099999999995,16.0,0.0,0.0,3
48.5141,16.0,0.0,0.0,3
21.4297,9.0,0.0,0.0,3
49.734899999999996,27.0,0.0,0.0,3
75.08430000000001,41.0,0.0,0.0,3
44.530100000000004,28.0,0.0,0.0,3
32.995999999999995,21.0,0.0,0.0,3
35.437799999999996,20.0,0.0,0.0,3
53.088,38.0,0.0,0.0,3
49.6707,30.0,0.0,0.0,3
45.429700000000004,26.0,100.0,1.0,3
35.8233,25.0,0.0,0.0,3
27.3735,15.0,0.0,0.0,3
27.4056,15.0,0.0,0.0,3
28.5301,22.0,0.0,0.0,3
49.7992,33.0,0.0,0.0,3
31.7108,19.0,0.0,0.0,3
43.3414,20.0,0.0,0.0,3
32.6104,17.0,0.0,0.0,3
32.739,17.0,0.0,0.0,3
32.8353,18.0,0.0,0.0,3
53.01199999999999,28.0,0.0,0.0,3
38.2008,21.0,0.0,0.0,3
21.9438,7.0,0.0,0.0,3
39.6466,18.0,0.0,0.0,3
38.297200000000004,20.0,0.0,0.0,3
32.800000000000004,18.0,0.0,0.0,3
38.522099999999995,19.0,0.0,0.0,3
43.437799999999996,25.0,0.0,0.0,3
77.5582,52.0,0.0,0.0,3
49.088,31.0,0.0,0.0,3
50.7631,39.0,0.0,0.0,3
23.0361,22.0,0.0,0.0,3
52.241,49.0,0.0,0.0,3
52.1767,48.0,0.0,0.0,3
41.504,46.0,0.0,0.0,3
22.336000000000002,15.0,0.0,0.0,3
56.0,41.0,0.0,0.0,3
0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,0.0,3
