msg_count,ind_latency,recv_latency,class_latency,alloc_latency,tot_latency
1.0,1.53,9923.63,175.19,1.91,10102.26
2.0,0.55,109.95,49.24,1.58,161.32
3.0,0.53,2.76,49.05,2.16,54.5
4.0,0.52,2.76,53.01,1.93,58.21
5.0,0.56,2.61,49.2,1.91,54.27
6.0,0.51,2.68,49.92,2.31,55.43
7.0,0.52,2.72,49.17,3.22,55.64
8.0,0.54,2.8,48.48,1.73,53.55
9.0,0.54,2.73,48.88,1.94,54.08
10.0,0.51,2.76,49.19,1.95,54.4
11.0,0.53,2.7,51.48,2.56,57.28
12.0,0.51,2.73,49.17,2.52,54.92
13.0,0.51,2.76,52.95,2.78,59.0
14.0,0.51,2.8,49.77,2.74,55.82
15.0,0.53,2.79,54.17,1.94,59.44
16.0,0.55,2.81,57.6,2.23,63.19
17.0,0.54,3.45,49.95,2.79,56.73
18.0,0.49,2.72,48.98,2.27,54.46
19.0,0.5,2.85,49.02,2.45,54.82
20.0,0.49,2.92,51.68,2.5,57.6
21.0,0.52,2.92,62.89,2.03,68.35
22.0,0.54,2.76,49.57,2.6,55.47
23.0,0.51,2.73,69.9,2.4,75.53
24.0,0.51,2.63,51.13,2.35,56.62
25.0,0.51,2.78,49.14,1.85,54.28
26.0,0.53,2.86,48.9,2.76,55.06
27.0,0.53,2.9,49.7,2.45,55.57
28.0,0.5,3.1,54.47,2.4,60.47
29.0,0.52,2.95,49.64,2.25,55.36
30.0,0.54,2.96,49.65,1.79,54.94
31.0,0.49,3.09,54.31,2.38,60.28
32.0,0.53,3.06,54.99,2.09,60.68
33.0,0.51,3.11,51.1,1.82,56.54
34.0,0.54,2.88,48.82,2.27,54.51
35.0,0.53,2.94,49.17,1.9,54.54
36.0,0.54,2.78,49.38,1.93,54.63
37.0,0.54,2.88,51.14,2.23,56.79
38.0,0.52,2.74,48.63,1.8,53.69
39.0,0.55,2.8,48.98,1.86,54.19
40.0,0.53,2.84,51.6,2.24,57.21
41.0,0.55,2.76,49.3,2.36,54.97
42.0,0.52,2.69,51.58,2.05,56.84
43.0,0.54,2.93,49.87,2.09,55.42
44.0,0.51,2.87,49.85,2.68,55.91
45.0,0.55,2.76,49.37,1.93,54.61
46.0,0.54,2.72,50.93,1.91,56.1
47.0,0.55,2.73,48.76,1.89,53.92
48.0,0.51,2.74,52.66,2.04,57.95
49.0,0.54,2.68,49.58,1.85,54.65
50.0,0.54,2.87,48.77,2.46,54.63
51.0,0.52,2.73,51.18,2.59,57.03
52.0,0.53,2.64,51.79,1.55,56.52
53.0,0.53,2.76,49.71,2.78,55.78
54.0,0.54,2.88,52.77,2.76,58.96
55.0,0.53,2.87,49.48,2.05,54.93
56.0,0.52,2.81,59.77,2.36,65.46
57.0,0.55,2.91,49.77,2.73,55.96
58.0,0.52,2.84,49.87,2.79,56.02
59.0,0.54,2.93,57.83,1.91,63.22
60.0,0.53,3.14,48.95,1.53,54.14
61.0,0.53,2.87,48.79,2.6,54.8
