msg_count,ind_latency,recv_latency,class_latency,alloc_latency,tot_latency
1.0,15.27,19154.1,302.1,1.72,19473.19
2.0,10.48,316.26,79.6,1.71,408.05
3.0,9.7,369.94,90.97,1.67,472.27
4.0,10.96,328.89,90.4,1.55,431.8
5.0,9.87,198.01,86.68,2.51,297.06
6.0,11.56,210.9,100.0,1.83,324.3
7.0,10.42,275.31,88.38,1.94,376.05
8.0,11.51,345.21,90.98,1.87,449.58
9.0,10.13,4.68,87.93,1.97,104.72
10.0,9.73,4.54,86.19,1.53,101.99
11.0,10.62,87.04,76.54,1.68,175.88
12.0,10.28,12.84,76.0,1.63,100.76
13.0,10.09,5.57,80.16,1.26,97.09
14.0,10.76,74.05,83.64,1.9,170.36
15.0,10.95,16.92,89.95,1.53,119.34
16.0,9.96,84.07,91.73,1.59,187.35
17.0,11.54,5.03,93.47,2.68,112.73
18.0,11.42,4.65,82.2,2.27,100.54
19.0,10.3,8.67,87.59,2.93,109.5
20.0,9.97,6.53,61.31,3.08,80.9
21.0,10.14,33.59,66.27,1.15,111.15
22.0,10.69,4.88,84.98,1.57,102.12
23.0,9.83,4.76,85.96,1.08,101.63
24.0,9.88,40.81,68.66,1.27,120.63
25.0,9.46,92.9,57.18,1.74,161.28
26.0,11.7,114.0,68.47,2.01,196.18
27.0,9.66,67.91,91.47,1.93,170.96
28.0,9.77,28.46,70.26,1.47,109.97
29.0,10.51,5.6,95.73,2.07,113.91
30.0,10.34,5.78,93.39,1.62,111.13
31.0,9.43,5.47,72.08,1.47,88.46
32.0,9.69,4.99,85.31,1.33,101.33
33.0,11.35,44.08,89.76,5.19,150.38
34.0,10.94,85.28,88.67,3.45,188.34
35.0,9.65,165.86,76.6,3.0,255.11
36.0,19.19,95.3,98.42,1.42,214.33
37.0,9.92,36.41,87.73,1.55,135.6
38.0,9.85,7.59,101.74,1.67,120.85
39.0,10.91,22.72,103.85,1.28,138.76
40.0,10.87,4.3,113.64,1.19,129.99
41.0,10.3,8.02,93.45,1.42,113.18
42.0,11.09,25.55,83.58,2.32,122.54
43.0,9.51,7.16,92.56,1.3,110.53
44.0,10.57,99.87,86.64,1.42,198.49
45.0,10.12,166.31,88.19,1.48,266.11
46.0,10.14,233.64,78.28,2.12,324.18
47.0,11.13,198.05,95.78,1.45,306.4
48.0,11.53,114.74,131.07,3.5,260.84
49.0,11.77,248.72,103.03,1.65,365.17
50.0,10.98,84.95,102.06,2.01,199.99
51.0,10.56,4.69,101.65,2.0,118.9
52.0,10.63,5.98,82.87,1.04,100.52
53.0,10.29,6.11,91.52,1.85,109.78
54.0,14.23,18.64,91.92,1.97,126.75
55.0,11.22,25.76,91.28,2.06,130.32
56.0,10.01,23.71,89.72,1.41,124.85
57.0,10.88,38.43,90.61,1.18,141.09
58.0,10.97,72.12,91.98,1.48,176.56
59.0,11.41,47.81,88.95,1.71,149.89
60.0,10.56,101.53,91.83,1.32,205.25
61.0,10.58,49.69,81.24,2.24,143.75
62.0,19.98,8.83,95.96,1.74,126.5
63.0,9.26,7.06,69.61,2.42,88.34
64.0,13.14,13.92,70.35,3.04,100.45
65.0,11.39,64.28,71.04,1.57,148.28
66.0,10.85,86.88,81.24,0.86,179.82
67.0,9.34,3.31,74.08,1.42,88.15
68.0,10.51,9.76,72.26,2.34,94.86
69.0,20.91,69.24,72.13,1.0,163.28
70.0,10.96,45.79,79.57,1.31,137.63
71.0,10.09,105.99,82.36,0.97,199.41
72.0,11.23,4.08,86.85,1.39,103.55
73.0,10.16,4.86,105.1,2.58,122.7
74.0,13.42,4.29,79.09,1.55,98.36
75.0,9.65,12.02,79.35,1.64,102.67
76.0,9.7,57.51,85.37,5.51,158.09
77.0,9.79,4.54,120.65,1.58,136.56
78.0,11.28,72.49,78.51,1.93,164.22
79.0,10.14,101.92,77.67,2.98,192.71
80.0,10.52,39.21,78.38,1.15,129.27
81.0,10.6,92.74,79.08,1.55,183.97
82.0,9.96,6.72,80.94,12.72,110.34
83.0,11.33,5.35,70.85,1.57,89.1
84.0,21.25,63.36,84.09,1.29,169.99
85.0,11.65,90.61,72.67,1.05,175.97
86.0,10.58,8.28,95.54,1.28,115.69
87.0,15.85,48.71,77.47,1.25,143.28
88.0,10.72,75.55,76.18,3.79,166.25
89.0,10.15,31.54,84.29,1.87,127.85
90.0,10.82,12.02,75.2,1.67,99.71
91.0,10.27,29.01,62.01,1.22,102.51
92.0,10.9,4.72,79.53,2.3,97.45
93.0,9.49,5.87,66.9,1.78,84.03
94.0,13.84,61.67,84.01,1.33,160.85
95.0,10.41,8.06,89.62,1.48,109.57
96.0,10.15,5.09,85.36,1.69,102.29
97.0,9.55,4.62,70.64,1.87,86.68
98.0,10.37,24.44,82.89,2.85,120.55
99.0,10.59,72.44,97.05,2.94,183.03
100.0,11.29,140.12,103.65,1.7,256.77
101.0,9.68,212.18,75.62,1.23,298.71
102.0,10.52,3.96,128.14,1.32,143.94
103.0,9.92,5.0,96.51,3.9,115.32
104.0,9.54,5.13,94.05,0.94,109.66
105.0,9.48,33.11,81.05,1.32,124.97
106.0,10.02,6.63,79.22,1.63,97.51
107.0,11.04,64.44,77.31,1.59,154.39
108.0,10.05,4.12,91.75,1.62,107.55
109.0,11.25,94.27,93.52,1.1,200.14
110.0,10.2,181.21,99.38,2.2,292.99
111.0,10.81,189.96,90.41,1.53,292.72
112.0,10.02,3.51,93.83,4.66,112.02
113.0,10.29,58.4,89.24,1.66,159.59
114.0,11.05,6.47,86.69,1.41,105.62
115.0,15.28,88.05,69.96,1.58,174.86
116.0,10.69,5.52,72.07,1.53,89.81
117.0,12.38,48.35,76.62,1.36,138.7
118.0,12.58,22.73,72.99,1.52,109.82
119.0,11.5,94.77,77.09,1.46,184.83
120.0,10.63,100.22,91.96,1.52,204.33
121.0,12.8,66.94,96.64,3.08,179.46
122.0,9.86,6.38,69.07,1.0,86.3
123.0,10.63,47.4,63.61,1.25,122.89
124.0,11.34,10.68,93.68,2.54,118.24
125.0,9.73,5.95,60.65,1.39,77.71
126.0,10.37,3.96,82.39,1.86,98.59
127.0,10.36,67.04,101.65,1.18,180.22
128.0,13.82,120.27,97.12,1.47,232.67
129.0,10.64,168.81,71.99,1.28,252.71
130.0,11.32,181.95,88.04,2.45,283.76
131.0,10.03,178.25,78.19,1.12,267.6
132.0,10.64,7.87,91.48,1.34,111.33
133.0,9.88,4.73,54.31,1.28,70.2
134.0,10.46,4.13,88.41,1.39,104.39
135.0,10.06,5.01,65.37,1.26,81.69
136.0,10.79,17.66,89.13,1.16,118.74
137.0,10.49,16.07,72.93,1.52,101.01
138.0,10.34,4.45,80.22,1.25,96.26
139.0,10.97,6.09,76.67,2.1,95.83
140.0,11.77,4.84,67.28,1.72,85.62
141.0,11.22,6.13,101.62,3.93,122.9
142.0,10.11,3.86,91.69,1.66,107.31
143.0,9.61,3.93,71.43,1.47,86.44
144.0,10.1,4.68,78.49,1.43,94.7
145.0,9.86,5.74,101.62,1.27,118.49
146.0,12.66,41.43,80.04,2.2,136.33
147.0,10.32,93.02,64.93,1.33,169.59
148.0,14.46,151.18,71.85,1.01,238.49
149.0,9.72,46.1,85.2,1.43,142.46
150.0,10.88,57.47,91.0,1.46,160.8
151.0,9.63,7.25,100.32,1.82,119.02
152.0,11.89,4.92,96.35,1.44,114.6
153.0,10.3,3.93,87.17,1.99,103.39
154.0,13.41,7.33,83.11,1.13,104.97
155.0,12.6,4.96,70.61,1.44,89.62
156.0,10.57,57.51,72.19,2.45,142.72
157.0,10.45,58.33,82.98,2.54,154.3
158.0,10.85,81.24,103.67,1.84,197.6
159.0,10.33,183.31,100.03,2.51,296.18
160.0,10.42,264.61,94.32,1.97,371.32
161.0,11.35,92.36,93.38,1.44,198.52
162.0,12.07,3.48,90.88,1.43,107.86
163.0,9.66,5.8,97.2,1.69,114.35
164.0,10.76,4.84,98.81,1.94,116.35
165.0,11.46,3.78,70.39,1.34,86.97
166.0,13.93,69.92,99.46,1.4,184.71
167.0,11.04,121.07,70.31,2.26,204.69
168.0,11.47,167.8,62.41,2.0,243.68
169.0,9.72,85.38,75.55,1.09,171.74
170.0,10.57,94.99,86.53,1.36,193.45
171.0,9.92,18.89,87.81,1.97,118.59
172.0,10.45,5.09,89.94,1.13,106.62
173.0,10.15,18.84,73.58,1.56,104.14
174.0,10.53,5.32,94.3,3.11,113.26
175.0,12.61,3.96,87.67,2.12,106.36
176.0,14.06,81.02,75.78,1.46,172.31
177.0,13.43,63.85,118.88,1.18,197.35
178.0,10.84,57.25,86.66,1.4,156.15
179.0,9.84,119.91,91.76,1.25,222.76
180.0,10.82,96.06,91.5,4.16,202.53
181.0,13.36,11.53,93.7,3.65,122.23
182.0,10.81,7.81,83.7,2.01,104.33
183.0,10.53,94.48,79.32,1.06,185.39
184.0,12.23,14.23,84.97,1.73,113.15
185.0,10.92,5.21,83.21,1.57,100.91
186.0,9.72,4.6,82.74,1.73,98.78
187.0,13.22,8.69,65.77,1.46,89.13
188.0,11.83,80.42,81.32,2.39,175.96
189.0,9.87,100.43,72.12,2.03,184.45
190.0,9.53,144.04,94.35,1.52,249.44
191.0,11.03,3.74,94.15,1.71,110.63
192.0,12.5,5.46,59.99,1.75,79.69
193.0,10.12,5.7,111.04,1.34,128.2
194.0,14.56,57.17,102.36,1.84,175.93
195.0,10.72,4.45,76.62,2.23,94.02
196.0,11.68,42.96,75.02,2.21,131.88
197.0,11.17,5.08,71.62,1.47,89.34
198.0,21.94,3.71,79.84,1.58,107.07
199.0,14.91,77.34,77.47,1.23,170.95
200.0,10.15,98.97,75.86,1.63,186.61
201.0,11.11,4.92,71.29,1.11,88.44
202.0,9.73,5.81,80.98,1.85,98.37
203.0,13.58,4.06,68.19,4.54,90.36
204.0,14.17,63.65,78.54,2.13,158.49
205.0,10.08,5.09,80.5,2.06,97.72
206.0,10.84,4.94,104.09,2.52,122.39
207.0,10.65,89.31,99.85,1.49,201.3
208.0,10.75,74.19,99.55,1.4,185.89
209.0,10.13,118.62,93.35,4.17,226.27
210.0,9.77,5.12,96.36,2.47,113.72
211.0,10.19,4.28,91.78,1.51,107.76
212.0,10.27,79.28,64.57,1.16,155.28
213.0,9.84,6.73,81.95,2.38,100.9
214.0,10.37,6.59,74.41,1.95,93.33
215.0,10.53,5.62,82.96,1.37,100.48
216.0,11.02,4.54,78.23,1.64,95.43
217.0,10.43,80.69,56.37,0.9,148.39
218.0,9.8,114.1,83.49,2.68,210.07
219.0,11.93,5.63,81.84,1.74,101.14
220.0,10.31,4.28,77.82,1.25,93.66
221.0,9.46,5.52,90.61,2.22,107.81
222.0,10.02,14.84,82.38,2.09,109.34
223.0,10.21,5.24,84.26,1.29,101.0
224.0,9.9,4.35,79.11,1.54,94.89
225.0,10.09,4.39,109.48,1.55,125.52
226.0,10.4,35.71,87.7,1.37,135.19
227.0,10.62,4.66,96.46,2.36,114.09
228.0,13.96,47.25,85.79,1.93,148.94
229.0,9.8,3.88,76.25,2.7,92.63
230.0,9.92,4.55,96.23,1.6,112.31
231.0,10.55,11.89,102.34,1.25,126.02
232.0,14.02,68.28,78.39,1.14,161.83
233.0,9.72,34.2,84.62,1.29,129.83
234.0,9.96,17.18,82.38,1.7,111.22
235.0,10.21,4.98,77.79,1.84,94.83
236.0,11.69,5.42,68.31,1.73,87.15
237.0,10.28,65.07,60.65,0.97,136.97
238.0,10.44,85.96,56.64,1.31,154.35
239.0,10.13,7.41,85.61,1.69,104.83
240.0,11.49,4.54,80.7,1.43,98.15
241.0,12.03,6.21,93.69,1.12,113.05
242.0,13.0,54.86,108.78,2.07,178.72
243.0,21.06,53.27,99.84,1.97,176.14
244.0,15.39,6.64,96.12,1.41,119.55
245.0,9.71,5.03,90.56,1.63,106.95
246.0,10.38,7.55,97.5,2.38,117.8
247.0,11.64,104.68,104.94,1.52,222.78
248.0,10.42,188.02,96.08,1.93,296.45
249.0,9.76,9.32,93.5,2.8,115.38
250.0,11.62,5.11,94.91,1.45,113.09
251.0,14.44,4.35,92.37,1.36,112.53
252.0,11.5,7.74,79.49,1.45,100.18
253.0,10.84,79.66,60.44,1.22,152.15
254.0,9.87,4.25,89.48,1.5,105.1
255.0,12.69,7.93,85.16,1.37,107.15
256.0,13.06,96.3,86.08,1.6,197.04
257.0,10.93,39.78,98.09,1.31,150.11
258.0,14.65,139.54,100.7,1.71,256.61
259.0,10.32,3.73,88.67,1.8,104.52
260.0,10.07,4.59,86.75,1.42,102.83
261.0,9.76,3.8,93.01,2.21,108.79
262.0,9.87,4.39,91.61,1.69,107.56
263.0,11.07,5.55,94.26,1.75,112.64
264.0,10.21,5.41,103.37,2.03,121.02
265.0,10.01,4.63,88.43,1.76,104.83
266.0,9.59,7.75,102.11,1.82,121.27
267.0,15.74,106.17,93.28,1.59,216.77
268.0,9.67,131.63,94.7,4.81,240.82
269.0,10.03,3.5,80.55,1.36,95.45
270.0,10.81,5.35,65.09,1.52,82.77
271.0,9.78,13.81,99.53,1.22,124.34
272.0,10.66,11.14,75.09,1.44,98.33
273.0,10.35,5.45,71.59,1.24,88.63
274.0,10.29,80.32,90.85,2.7,184.16
275.0,9.91,12.61,76.9,1.66,101.09
276.0,10.61,60.45,79.5,1.41,151.97
277.0,10.51,19.41,83.19,1.68,114.78
278.0,12.08,4.79,82.68,0.72,100.27
279.0,10.68,4.28,82.97,1.49,99.41
280.0,10.6,4.78,92.02,1.57,108.99
281.0,10.12,59.58,86.6,1.68,157.98
282.0,10.88,23.4,79.64,1.03,114.94
283.0,10.69,72.57,95.75,1.85,180.85
284.0,10.6,12.88,97.69,3.46,124.64
285.0,13.59,53.55,91.02,2.86,161.02
286.0,9.76,5.36,94.92,1.62,111.67
287.0,10.51,4.82,96.58,1.49,113.39
288.0,9.65,5.23,81.33,1.32,97.52
289.0,9.43,4.98,90.17,1.46,106.04
290.0,10.12,4.84,114.82,2.36,132.13
291.0,18.63,4.44,97.14,1.48,121.69
292.0,9.95,20.57,75.89,0.99,107.4
293.0,10.29,61.36,73.42,1.53,146.59
294.0,11.25,4.55,56.92,1.72,74.44
295.0,13.2,13.56,97.7,2.32,126.78
296.0,12.64,86.97,96.17,1.79,197.56
297.0,13.17,189.77,95.4,1.44,299.78
298.0,14.06,140.48,82.59,2.08,239.21
299.0,11.92,9.43,91.26,1.36,113.96
300.0,11.13,3.82,82.06,2.1,99.11
301.0,9.57,4.99,75.42,1.44,91.41
302.0,10.59,4.25,105.76,1.84,122.44
303.0,10.96,7.66,101.01,1.47,121.1
304.0,10.34,56.92,95.9,2.4,165.55
305.0,9.92,4.42,88.16,1.88,104.38
306.0,11.25,55.94,95.47,2.12,164.79
307.0,10.41,85.65,97.56,1.57,195.18
308.0,13.09,52.75,94.56,2.4,162.8
309.0,13.22,155.65,89.4,3.0,261.27
310.0,10.14,5.03,91.86,1.4,108.43
311.0,9.76,65.4,90.76,1.29,167.22
