tx_brate downlink (kbps),rx_brate uplink (kbps),sum_requested_prbs,slice_target
38.297200000000004,100.0,70,1
378.699,0.0,326,0
56.128,100.0,196,1
5.824,0.0,18,2
802.249,0.0,614,0
6.176,0.0,13,2
16.351999999999997,0.0,31,2
10.815999999999999,0.0,37,2
20.241,100.0,240,2
177.344,0.0,500,0
425.536,0.0,500,0
0.0,0.0,988,1
127.00800000000001,0.0,102,0
340.928,100.0,172,0
27.808,0.0,116,1
10.8916,100.0,13,2
16.3534,0.0,28,2
72.128,0.0,88,1
928.352,0.0,1339,0
6.24,100.0,20,2
186.336,0.0,250,0
25.863500000000002,0.0,17,1
31.36,100.0,21,1
22.432000000000002,0.0,201,2
33.3494,0.0,62,1
41.76,0.0,48,1
33.6707,0.0,48,1
21.823999999999998,0.0,22,2
51.52,0.0,36,1
34.56,0.0,3,1
32.032,0.0,46,1
38.816,0.0,88,1
0.0,0.0,250,2
60.704,0.0,777,1
0.0,0.0,500,0
20.6908,0.0,18,1
25.12,100.0,153,2
618.859,0.0,747,0
32.032,0.0,86,2
5.312,0.0,4,2
10.975999999999999,100.0,15,2
59.9197,0.0,327,1
37.751,100.0,596,1
366.779,0.0,265,0
11.68,0.0,13,2
10.6988,100.0,57,2
24.0,0.0,74,2
46.368,100.0,115,1
20.736,0.0,59,2
5.49398,0.0,10,2
42.8594,100.0,339,1
17.312,0.0,71,2
35.776,0.0,645,1
5.49398,100.0,8,2
16.1285,0.0,54,2
21.408,100.0,24,2
37.172700000000006,0.0,226,1
824.864,0.0,750,0
405.824,0.0,250,0
26.988000000000003,0.0,44,2
669.173,100.0,500,0
14.3614,0.0,168,2
0.0,0.0,417,2
15.5181,0.0,30,1
16.16,100.0,22,2
1013.65,0.0,487,0
52.6586,0.0,65,1
10.751999999999999,0.0,13,2
22.2651,0.0,119,2
36.064,0.0,24,1
40.864,100.0,210,2
11.520000000000001,0.0,13,2
421.44,100.0,1000,0
5.728,0.0,10,2
317.976,0.0,652,0
272.06399999999996,100.0,250,0
16.512,0.0,61,1
516.288,100.0,250,0
16.0,0.0,57,2
11.456,0.0,186,2
10.666699999999999,0.0,8,2
5.3012,0.0,6,2
255.04,100.0,85,0
37.983999999999995,100.0,74,1
472.225,0.0,500,0
16.3534,0.0,23,2
43.52,0.0,83,1
29.6867,100.0,1028,2
0.0,0.0,78,1
143.068,0.0,750,0
6.52209,0.0,250,0
24.736,0.0,99,2
21.856,0.0,53,2
16.4819,0.0,20,1
46.1044,100.0,243,1
37.012,0.0,30,1
45.5582,0.0,380,1
48.995999999999995,0.0,495,1
45.376,0.0,104,1
11.1486,100.0,387,2
65.952,100.0,532,1
22.4257,100.0,77,2
236.755,0.0,301,0
11.968,0.0,72,2
